instruction,cqa family
FABS,FM_ABS
PABSB,FM_ABS
PABSD,FM_ABS
PABSW,FM_ABS
VPABSB,FM_ABS
VPABSD,FM_ABS
VPABSQ,FM_ABS
VPABSW,FM_ABS
ADC,FM_ADD
ADCX,FM_ADD
ADD,FM_ADD
ADDPD,FM_ADD
ADDPS,FM_ADD
ADDSD,FM_ADD
ADDSS,FM_ADD
ADDSUBPD,FM_ADD
ADDSUBPS,FM_ADD
ADOX,FM_ADD
FADD,FM_ADD
FIADD,FM_ADD
HADDPD,FM_ADD
HADDPS,FM_ADD
KADDB,FM_ADD
KADDD,FM_ADD
KADDQ,FM_ADD
PADDB,FM_ADD
PADDD,FM_ADD
PADDQ,FM_ADD
PADDSB,FM_ADD
PADDSW,FM_ADD
PADDUSB,FM_ADD
PADDUSW,FM_ADD
PFACC,FM_ADD
PFADD,FM_ADD
PHADDD,FM_ADD
PHADDSW,FM_ADD
VADDPD,FM_ADD
VADDPS,FM_ADD
VADDSD,FM_ADD
VADDSS,FM_ADD
VADDSUBPD,FM_ADD
VADDSUBPS,FM_ADD
VHADDPD,FM_ADD
VHADDPS,FM_ADD
VPADDB,FM_ADD
VPADDQ,FM_ADD
VPADDSB,FM_ADD
VPADDSW,FM_ADD
VPADDUSB,FM_ADD
VPADDUSW,FM_ADD
VPADDW,FM_ADD
VPHADDSW,FM_ADD
VPHADDW,FM_ADD
VPMADDUBSW,FM_ADD
VPMADDWD,FM_ADD
XADD,FM_ADD
FADDP,FM_ADD
KADDW,FM_ADD
PADDW,FM_ADD
PHADDW,FM_ADD
VPADDD,FM_ADD
VPHADDD,FM_ADD
AND,FM_AND
ANDN,FM_AND
ANDNPD,FM_AND
ANDNPS,FM_AND
ANDPS,FM_AND
KANDB,FM_AND
KANDD,FM_AND
KANDNB,FM_AND
KANDND,FM_AND
KANDNQ,FM_AND
KANDNW,FM_AND
KANDQ,FM_AND
KANDW,FM_AND
PAND,FM_AND
PANDN,FM_AND
VANDNPD,FM_AND
VANDNPS,FM_AND
VANDPD,FM_AND
VPAND,FM_AND
VPANDD,FM_AND
VPANDND,FM_AND
VPANDNQ,FM_AND
VPANDQ,FM_AND
VPTESTMB,FM_AND
VPTESTMD,FM_AND
VPTESTMQ,FM_AND
VPTESTMW,FM_AND
VPTESTNMB,FM_AND
VPTESTNMD,FM_AND
VPTESTNMW,FM_AND
ANDPD,FM_AND
VANDPS,FM_AND
VPANDN,FM_AND
VPTESTNMQ,FM_AND
FPATAN,FM_ATAN
PAVGB,FM_AVG
PAVGUSB,FM_AVG
PAVGW,FM_AVG
VPAVGB,FM_AVG
VPAVGW,FM_AVG
VBROADCASTF128,FM_BROADCAST
VBROADCASTF32X2,FM_BROADCAST
