,ShortName,Variant,Set,peer_codelet_cnt,Tier,Sat_Node,Sat_Range,SI_Result,Box_Length,Box_Ratio,SW_bias_CLS_CDLTS,SW_bias_Result,SW_bias_box_length,SW_bias_box_ratio,Intensity,Saturation,GFlops,"neg_bias[CNVT,DIV,clu_score,Rec,RHS]","pos_bias[VEC_OPS,ISA_EXT,FMA_OPS]",SW_bias
0,test-crr35-ORIG,ORIG,BENEFITTING,9,1,Stall[SB]_%,Stall[SB]_%: [86.15684873  77.52389993] ,Inside Box,"{2.94 , 1.56}","{2.26 , 2.15}",8,Inside Box,"{1.36 , 0.86}","{1.36 , 0.86}",1.49,4.84,3.03,"[0.14, 0.0, 0, 0, 0]","[1.0, 2, 0.57]",3.43
1,test-crr35-JL0F4,JL0F4,BENEFITTING,9,1,Stall[SB]_%,Stall[SB]_%: [86.15684873  77.52389993] ,Inside Box,"{2.94 , 1.56}","{2.26 , 2.15}",8,Inside Box,"{1.36 , 0.86}","{1.36 , 0.86}",1.37,5.26,3.47,"[0.14, 0.0, 0, 0, 0]","[1.0, 2, 0.57]",3.43
2,test-crr35-JL0F4;TL1S128;TL2S128,JL0F4;TL1S128;TL2S128,BENEFITTING,4,2,"Rate[L3]_GB/s , Stall[SB]_%","Rate[L3]_GB/s: [51.95341162  46.163249900000004] ], Stall[SB]_%: [69.50171924  63.50918392] ",Inside Box,"{1.0 , 0.38}","{1.23 , 1.29}",4,Inside Box,"{1.0 , 0.38}","{1.0 , 0.38}",1.66,5.32,5.94,"[0.14, 0.0, 0, 0, 0]","[1.0, 2, 0.57]",3.43
3,test-sym37-JL0F4;TL1S128;TL2S128,,,1,2,Stall[SB]_%,Stall[SB]_%: [66.6630454  66.6630454] ,No Cluster,,,,,,,,,1.32,"[0.14, 0.0, 0, 0, 0]","[1.0, 2, 0.0]",2.86
4,test-sym37-ORIG,,,2,2,"Rate[RAM]_GB/s , Stall[SB]_%","Rate[RAM]_GB/s: [21.50786492  20.799610100000002] ], Stall[SB]_%: [71.13772583  63.24600381] ",No Cluster,,,,,,,,,1.35,"[0.14, 0.0, 0, 0, 0]","[1.0, 2, 0.0]",2.86
5,test-sym37-JL0F4,JL0F4,BENEFITTING,3,1,Rate[RAM]_GB/s,Rate[RAM]_GB/s: [24.3491869  23.79176254] ,Outside Box,"{1.63 , 0.07}","{1.38 , 1.05}",0,No Cluster,0,0,2.5,5.25,1.65,"[0.14, 0.0, 0, 0, 0]","[1.0, 2, 0.0]",2.86
6,test-gmv112-JL0F4;TL1S128;TL2S128,JL0F4;TL1S128;TL2S128,BENEFITTING,7,3,Rate[L3]_GB/s,Rate[L3]_GB/s: [39.25713027  33.09611905] ,Inside Box,"{2.83 , 0.31}","{2.03 , 1.22}",3,Inside Box,"{1.76 , 0.14}","{1.76 , 0.14}",1.68,4.1,6.03,"[0.0, 0.0, 0, 0, 0]","[0.44, 2, 0.35]",2.79
7,test-gmv112-ORIG,ORIG,BENEFITTING,6,3,Rate[RAM]_GB/s,Rate[RAM]_GB/s: [17.71112915  15.43639156] ,Inside Box,"{3.16 , 0.77}","{2.17 , 1.48}",6,Inside Box,"{3.16 , 0.77}","{3.16 , 0.77}",1.68,4.16,6.27,"[0.0, 0.0, 0, 0, 0]","[1.0, 2, 0.2]",3.2
8,test-gmv112-JL0F4,JL0F4,BENEFITTING,18,2,Rate[RAM]_GB/s,Rate[RAM]_GB/s: [22.78974665  20.42324014] ,Inside Box,"{2.24 , 1.96}","{1.79 , 2.47}",3,Outside Box,"{2.15 , 0.32}","{2.15 , 0.32}",1.78,3.79,6.96,"[0.0, 0.0, 0, 0, 0]","[0.0, -1, 0.48]",-0.52
9,test-rhs2133-ORIG,ORIG,BENEFITTING,18,2,Rate[RAM]_GB/s,Rate[RAM]_GB/s: [22.78974665  20.42324014] ,Inside Box,"{2.24 , 1.96}","{1.79 , 2.47}",3,Inside Box,"{2.15 , 0.32}","{2.15 , 0.32}",1.54,3.99,5.78,"[0.0, 0.0, 0, 0, 0]","[0.12, -1, 0.35]",-0.53
10,test-rhs2133-JL2F2,JL2F2,BENEFITTING,18,2,Rate[RAM]_GB/s,Rate[RAM]_GB/s: [22.78974665  20.42324014] ,Inside Box,"{2.24 , 1.96}","{1.79 , 2.47}",15,Inside Box,"{2.25 , 1.96}","{2.25 , 1.96}",1.62,4.19,7.19,"[0.0, 0.0, 0, 0, 0]","[0.82, 2, 0.54]",3.36
